average_recovery,lower_limit,upper_limit,assay,standard
101.78564935064935,69.11422089379198,134.45707780750672,AFP,Standard1
182.50747474747476,0,1325.9750614738368,CA15-3,Standard1
80.93642857142858,32.94873789393577,128.9241192489214,CCL20,Standard1
102.14627450980392,72.34051050903764,131.9520385105702,EGF,Standard1
107.87281045751634,81.76449003785655,133.98113087717613,FLT3L,Standard1
101.78941558441558,79.93878137192804,123.64004979690311,HGF,Standard1
100.32064935064935,88.35916271145007,112.28213598984863,IL-1 R2,Standard1
100.01691780821918,81.15453996978293,118.87929564665542,IL-6,Standard1
99.7640410958904,74.64752446541378,124.88055772636703,IL-8,Standard1
95.51808,53.19046997332589,137.8456900266741,KLK3,Standard1
99.80093959731543,89.6152071382106,109.98667205642028,MUC-16,Standard1
102.21281045751634,76.14405806673136,128.28156284830132,OPN,Standard1
100.271640625,91.05445574192385,109.48882550807616,CEA,Standard1
100.23104838709678,73.28893600579539,127.17316076839816,IL-6Ra,Standard1
99.42951219512196,80.61464891345763,118.24437547678629,MIF,Standard1
101.4026923076923,75.95167896528659,126.85370565009802,THBS2,Standard1
95.99796296296296,53.69703855948403,138.29888736644187,TNC,Standard1
105.17769230769231,75.95646536655161,134.398919248833,WFDC2,Standard1
100.538,83.00159250440593,118.07440749559406,cMET,Standard1
101.40007936507936,79.7969195009011,123.00323922925763,uPAR,Standard1
100.6238961038961,91.29366261702582,109.95412959076639,AFP,Standard2
96.23922077922077,75.81538620192464,116.6630553565169,CA15-3,Standard2
117.18012987012987,88.15791284040726,146.2023468998525,CCL20,Standard2
100.43155844155844,93.16323880534503,107.69987807777184,EGF,Standard2
106.75701298701298,63.885227039697675,149.6287989343283,FLT3L,Standard2
100.63487012987014,82.1772680483649,119.09247221137538,HGF,Standard2
100.57311688311688,92.24433273687339,108.90190102936037,IL-1 R2,Standard2
100.57188311688311,89.18144476608248,111.96232146768375,IL-6,Standard2
101.91824675324675,83.21946915514629,120.61702435134721,IL-8,Standard2
103.24214285714285,78.71761472650157,127.76667098778414,KLK3,Standard2
100.24727272727273,93.60239787816604,106.89214757637941,MUC-16,Standard2
100.00987012987012,85.36521336428538,114.65452689545486,OPN,Standard2
101.79638461538461,94.44223226698301,109.15053696378621,CEA,Standard2
101.42453846153846,81.2895224405301,121.55955448254682,IL-6Ra,Standard2
100.08323076923077,94.75457175164316,105.41188978681838,MIF,Standard2
100.71338461538461,89.78965327731916,111.63711595345006,THBS2,Standard2
101.40723076923076,89.08094855458057,113.73351298388096,TNC,Standard2
97.85438461538462,89.99833494822887,105.71043428254036,WFDC2,Standard2
100.7643076923077,91.44043204893762,110.08818333567777,cMET,Standard2
102.33792307692308,95.93467054040558,108.74117561344057,uPAR,Standard2
99.99993506493506,90.83694983922,109.16292029065012,AFP,Standard3
101.53006493506494,90.18433292906103,112.87579694106886,CA15-3,Standard3
91.83175324675325,65.26044672284323,118.40305977066328,CCL20,Standard3
99.6911038961039,91.96180325755215,107.42040453465565,EGF,Standard3
98.16090909090909,58.25209125119774,138.06972693062045,FLT3L,Standard3
102.05272727272727,92.21051913780187,111.89493540765267,HGF,Standard3
99.85233766233766,89.23174175966379,110.47293356501153,IL-1 R2,Standard3
100.68493506493506,89.63534632232928,111.73452380754084,IL-6,Standard3
100.87974025974026,79.46425681311082,122.2952237063697,IL-8,Standard3
102.67512987012987,68.31443195250151,137.03582778775822,KLK3,Standard3
100.40487012987013,90.9026316320718,109.90710862766846,MUC-16,Standard3
103.2975974025974,86.55254875361365,120.04264605158116,OPN,Standard3
98.64015384615385,90.31070082739704,106.96960686491066,CEA,Standard3
102.08853846153846,77.18496128892835,126.99211563414858,IL-6Ra,Standard3
101.95153846153846,94.77070881679282,109.1323681062841,MIF,Standard3
101.07269230769231,88.31574943733959,113.82963517804502,THBS2,Standard3
103.01807692307692,77.67474488640069,128.36140895975313,TNC,Standard3
103.1833076923077,94.02999456766476,112.33662081695063,WFDC2,Standard3
99.71053846153846,89.21596987773592,110.20510704534101,cMET,Standard3
97.61915384615385,86.71367940742539,108.52462828488231,uPAR,Standard3
100.6612987012987,91.328818829919,109.99377857267841,AFP,Standard4
99.87512987012987,89.81455718089136,109.93570255936838,CA15-3,Standard4
102.08863636363637,75.1470666776467,129.03020604962603,CCL20,Standard4
101.09097402597402,91.92116736905886,110.26078068288918,EGF,Standard4
109.86454545454545,61.73002557212264,157.99906533696827,FLT3L,Standard4
98.80428571428571,89.74082956989173,107.8677418586797,HGF,Standard4
101.23668831168831,90.1220449615724,112.35133166180422,IL-1 R2,Standard4
100.16675324675325,89.31697658445478,111.01652990905171,IL-6,Standard4
102.42337662337663,80.04634060986729,124.80041263688597,IL-8,Standard4
105.65571428571428,69.86850846430777,141.4429201071208,KLK3,Standard4
100.14883116883117,90.70856773133465,109.58909460632768,MUC-16,Standard4
99.07266233766234,80.15309352127016,117.99223115405451,OPN,Standard4
99.01484615384615,88.75995576900701,109.2697365386853,CEA,Standard4
102.35292307692308,79.63570789611227,125.07013825773389,IL-6Ra,Standard4
97.11246153846153,88.32851194956918,105.89641112735389,MIF,Standard4
99.07107692307692,85.1888761016986,112.95327774445524,THBS2,Standard4
99.32123076923077,78.79559004339812,119.84687149506341,TNC,Standard4
98.04376923076923,88.4786022866862,107.60893617485226,WFDC2,Standard4
101.15715384615385,91.60070387880646,110.71360381350124,cMET,Standard4
100.41953846153847,86.91365709398718,113.92541982908975,uPAR,Standard4
100.44805194805195,88.75327026061865,112.14283363548526,AFP,Standard5
100.81428571428572,89.92694070175394,111.7016307268175,CA15-3,Standard5
124.44292207792208,68.06864868193557,180.81719547390858,CCL20,Standard5
100.2477922077922,87.18471930247277,113.31086511311163,EGF,Standard5
113.61487012987013,69.87287753523123,157.35686272450903,FLT3L,Standard5
101.92064935064936,88.02145688732442,115.81984181397429,HGF,Standard5
100.52396103896103,86.0602116881462,114.98771038977587,IL-1 R2,Standard5
100.89805194805194,88.643722030271,113.1523818658329,IL-6,Standard5
102.24064935064935,78.46000316743334,126.02129553386536,IL-8,Standard5
103.2188961038961,72.82615608455137,133.61163612324083,KLK3,Standard5
100.96084415584416,87.50345966115584,114.41822865053247,MUC-16,Standard5
103.62285714285714,82.32665062889495,124.91906365681933,OPN,Standard5
103.17284615384615,87.64602315547567,118.69966915221663,CEA,Standard5
101.10146153846154,84.929525503361,117.27339757356206,IL-6Ra,Standard5
103.90623076923077,83.96150236218749,123.85095917627406,MIF,Standard5
102.70384615384616,84.82405743732578,120.58363487036654,THBS2,Standard5
104.816,82.4365652824982,127.19543471750181,TNC,Standard5
102.00384615384615,91.14725327178138,112.86043903591093,WFDC2,Standard5
100.00946153846154,90.07441339741277,109.9445096795103,cMET,Standard5
103.33638461538462,84.75047837436443,121.9222908564048,uPAR,Standard5
101.34675324675325,83.51957048694948,119.17393600655703,AFP,Standard6
100.92474025974026,84.73960200676282,117.1098785127177,CA15-3,Standard6
103.80428571428571,45.79744458728004,161.81112684129138,CCL20,Standard6
103.49402597402597,74.5982850185315,132.38976692952045,EGF,Standard6
118.2685064935065,35.570342522353684,200.9666704646593,FLT3L,Standard6
107.95298701298701,60.80185365724093,155.10412036873308,HGF,Standard6
103.20590909090909,76.14531378857787,130.26650439324033,IL-1 R2,Standard6
101.8237012987013,80.43559972220947,123.21180287519311,IL-6,Standard6
102.47909090909091,77.70984401889825,127.24833779928358,IL-8,Standard6
103.8275974025974,72.60551977137763,135.04967503381718,KLK3,Standard6
102.64564935064935,76.75681629859287,128.53448240270583,MUC-16,Standard6
106.69162337662338,59.575976614232346,153.8072701390144,OPN,Standard6
105.12338461538461,65.40362130310196,144.84314792766725,CEA,Standard6
103.68261538461539,72.00325301203509,135.3619777571957,IL-6Ra,Standard6
128.71492307692307,12.718122770563681,244.71172338328245,MIF,Standard6
104.39361538461539,68.60870666263125,140.17852410659953,THBS2,Standard6
110.60857142857142,40.01267853830747,181.2044643188354,TNC,Standard6
102.78776923076923,68.48236541664201,137.09317304489645,WFDC2,Standard6
101.30130769230769,83.32971952236328,119.2728958622521,cMET,Standard6
105.72769230769231,62.608491120354266,148.84689349503034,uPAR,Standard6
